Item,Subassembly,Component,Order/Drawing,Unit price,Quantity,Total price,Status,Notes
Side structural plate (3DP),Drivetrain,Structure,,,2,,Need to manufacture,Print in PETG
Motor Structural Plate (3DP),Drivetrain,Structure,,,2,,Need to manufacture,Print in PETG
Bottom Structural Plate (3DP),Drivetrain,Structure,,,1,,Need to manufacture,Print in PETG
5mm OD 55mm L Steel Shaft,Drivetrain,Shaft,,,4,,Need to manufacture,Cut to size
8mm OD 5mm ID 10mm L Spacer,Drivetrain,Structure,,,4,,Need to manufacture,Print in PLA
Servo horn to hinge coupler,Drivetrain,Steering,,,2,,Need to manufacture,Print in PA/PC
Rail Navigation Pointer ,Drivetrain,Steering,,,2,,Need to manufacture,Print in PA/POM
Custom servo horn,Drivetrain,Steering,,,2,,Need to manufacture,Print in PA/PC
,,,,,,,,
Brushless Motor D3536 100KV,Drivetrain,Drive,Ebay,24.99,2,49.98,Need to order,
2GT Timing Pulley Bore 2mm 60T 4 pack,Drivetrain,Pulley,Amazon,14.98,1,14.98,Need to order,
2GT Timing Pulley Bore 2mm 20T Double sided,Drivetrain,Pulley,Aliexpress,6.48,2,12.96,Need to order,
2PCS 85m Solid Large Load Bearing Rubber Tyre,Drivetrain,Wheel,Amazon,25.55,2,51.1,Need to order,
2mm Pitch GT2 Timing Belt 108 Tooth,Drivetrain,Belt,Servocity,3.79,4,15.16,Need to order,
2Pcs MG995 55G Servo Motor,Drivetrain,Steering,Amazon,13.98,1,--,Have it,
6-Pack F624ZZ Ball Bearings,Drivetrain,Bearing,Amazon,10.99,1,10.99,Need to order,
NFC Reader,Drivetrain,Navigation,Amazon,8.99,1,8.99,Need to order,
,,,,,,,,
Hex socket head cap screw M4x0.70 x 4 Stainless Steel ,Drivetrain,Standard Parts,,,4,,Unprocessed,
Hex socket countersunk head screw M4x0.7 x 8 Stainless Steel ,Drivetrain,Standard Parts,,,41,,Unprocessed,
Hex socket head cap screw M4x0.70 x 8 Stainless Steel ,Drivetrain,Standard Parts,,,4,,Unprocessed,
Hex nut grade A & B M3x0.5 Stainless Steel ,Drivetrain,Standard Parts,,,8,,Unprocessed,
Hex socket countersunk head screw M3x0.5 x 6 Stainless Steel ,Drivetrain,Standard Parts,,,8,,Unprocessed,
Hex socket head cap screw M3x0.50 x 12 Stainless Steel ,Drivetrain,Standard Parts,,,8,,Unprocessed,
Plain washer large grade A M2.5 Stainless Steel ,Drivetrain,Standard Parts,,,2,,Unprocessed,
Hex socket head cap screw M2.5x0.45 x 6 Stainless Steel ,Drivetrain,Standard Parts,,,2,,Unprocessed,For attaching to servos
Hex socket head cap screw M3x0.50 x 10 Stainless Steel ,Drivetrain,Standard Parts,,,8,,Unprocessed,For coupling horn to hinge
Socket button head screw M3x0.5 x 6 Stainless Steel ,Drivetrain,Standard Parts,,,2,,Unprocessed,For NFC reader to bottom of drivetrain
,,,,,,,,
,,,,,,,,
Railcar Back Panel,Elec Bay,Structure,,,1,,Need to manufacture,Print in PETG
Elec Bay Bottom Channel,Elec Bay,Structure,,,1,,Need to manufacture,Print in PETG
Elec Bay Top Channel,Elec Bay,Structure,,,1,,Need to manufacture,Print in PLA
Echo Mounting Brace,Elec Bay,Mounting,,,1,,Need to manufacture,Print in PLA
5mm OD 3.2mm ID 3mm H Custom Spacer,Elec Bay,Mounting,,,14,,Need to manufacture,Print in PLA
LED Matrix Mounting Brace,Elec Bay,Mounting,,,1,,Need to manufacture,Print in PETG
5mm OD 3.2mm ID 13mm H Custom Spacer,Elec Bay,Mounting,,,8,,Need to manufacture,Print in PLA
5mm OD 3.2mm ID 29mm H Custom Spacer,Elec Bay,Mounting,,,10,,Need to manufacture,Print in PETG
Battery Clip,Elec Bay,Mounting,,,5,,Need to manufacture,Print in PETG
Low Profile Battery Clip,Elec Bay,Mounting,,,2,,Need to manufacture,Print in PETG
Buck Converter Mounting Brace,Elec Bay,Mounting,,,2,,Need to manufacture,Print in PLA
I2C Multiplexer Mounting Brace,Elec Bay,Mounting,,,1,,Need to manufacture,Print in PLA
Elec-Cargo Bay Separation Panel,Elec Bay,Structure,,,1,,Need to manufacture,Print in PETG
,,,,,,,,
3DBuffalo Echo,Elec Bay,Controller,3DBuffalo,54.99,1,--,Have it,
2pcs Zeee 4S Lipo 14.8V 3300mAh,Elec Bay,Batteries,Aliexpress,47.66,1,47.66,Need to order,
650mAh 120C Lipo Battery 3S,Elec Bay,Batteries,Aliexpress,12.19,1,12.19,Need to order,
2PCS 30A Electric Brushless Motor Controller,Elec Bay,ESC,Amazon,16.99,1,16.99,Need to order,
